date,incoming,closings,titles_cleared,overdue,open_pipeline,loan_volume
2026-02-03,1,0,0,0,0,0
2026-02-04,0,0,0,0,0,0
2026-02-05,1,0,0,0,0,0
2026-02-06,0,0,0,0,0,0
2026-02-09,0,0,0,0,0,0
2026-02-10,0,0,0,0,0,0
2026-02-11,0,0,0,0,0,0
2026-02-12,0,0,0,0,0,0
2026-02-13,2,0,0,0,0,0
2026-02-16,2,0,0,0,0,0
2026-02-17,3,0,0,0,0,0
2026-02-18,0,0,0,0,0,0
2026-02-19,0,0,0,0,0,0
2026-02-20,0,0,0,0,0,0
2026-02-23,0,0,0,0,0,0
2026-02-24,0,0,0,0,0,0
2026-02-25,0,0,0,0,0,0
2026-02-26,1,0,0,0,0,0
2026-02-27,0,0,0,0,0,0
2026-03-02,0,0,0,0,0,0
2026-03-03,0,0,0,0,0,0
2026-03-04,0,0,0,0,0,0
2026-03-05,1,0,0,0,0,0
2026-03-06,0,0,0,0,0,0
2026-03-09,0,0,0,0,0,0
2026-03-10,1,0,0,0,0,0
2026-03-11,4,0,0,0,0,0
2026-03-12,13,0,0,0,0,0
2026-03-13,6,0,0,0,0,0
2026-03-16,0,0,0,0,0,0
2026-03-17,0,0,0,0,0,0
2026-03-18,2,0,0,0,0,0
2026-03-19,1,0,0,0,0,0
2026-03-20,0,0,0,0,0,0
2026-03-23,4,0,0,0,0,0
2026-03-24,9,0,0,0,0,0
2026-03-25,3,0,0,0,0,0
2026-03-26,11,0,0,0,0,0
2026-03-27,8,0,0,0,0,0
2026-03-30,8,0,0,0,0,0
2026-03-31,17,0,0,0,0,0
2026-04-01,12,0,0,0,0,0
2026-04-02,11,0,0,0,0,0
2026-04-03,9,0,0,0,0,0
2026-04-06,9,0,0,0,0,0
2026-04-07,6,0,0,0,0,0
2026-04-08,11,0,0,0,0,0
2026-04-09,13,0,0,0,0,0
2026-04-10,6,0,0,0,0,0
2026-04-13,6,0,0,0,0,0
2026-04-14,11,0,0,0,0,0
2026-04-15,18,0,0,0,0,0
2026-04-16,19,0,0,0,0,0
2026-04-17,17,0,0,0,0,0
2026-04-20,9,0,0,0,0,0
2026-04-21,13,0,0,0,0,0
2026-04-22,15,5,4,34,278,81070248.0
2026-04-23,6,5,4,40,285,83272703.0
2026-04-24,16,7,4,5,293,86692442.0
2026-04-27,28,7,4,8,313,91366410.0
2026-04-28,14,0,4,14,324,94954209.0
2026-04-29,10,4,4,15,327,95991258.0
2026-04-30,22,3,4,28,343,98840771.0
